hour,member_casual,total_rides
0,casual,39545
0,member,32824
1,casual,25296
1,member,20224
2,casual,16896
2,member,12203
3,casual,9301
3,member,7990
4,casual,7363
4,member,9043
5,casual,11727
5,member,35173
6,casual,27013
6,member,102587
7,casual,50212
7,member,203637
8,casual,71285
8,member,261786
9,casual,71040
9,member,168397
10,casual,85910
10,member,144535
11,casual,109287
11,member,168970
12,casual,129007
12,member,191551
13,casual,132982
13,member,187493
14,casual,139925
14,member,190711
15,casual,155617
15,member,241382
16,casual,177636
16,member,340998
17,casual,192305
17,member,388598
18,casual,164974
18,member,299831
19,casual,122931
19,member,207287
20,casual,88649
20,member,144288
21,casual,76096
21,member,112535
22,casual,64117
22,member,81935
23,casual,46376
23,member,51047
