month,month_name,member_casual,total_rides
1,January,casual,24740
1,January,member,113042
2,February,casual,41173
2,February,member,160281
3,March,casual,87854
3,March,member,229172
4,April,casual,109239
4,April,member,262137
5,May,casual,182770
5,May,member,319845
6,June,casual,292006
6,June,member,386795
7,July,casual,323352
7,July,member,440106
8,August,casual,337878
8,August,member,452439
9,September,casual,265268
9,September,member,449294
10,October,casual,224038
10,October,member,422058
11,November,casual,99082
11,November,member,257401
12,December,casual,28090
12,December,member,112455
